Número;Título nos EUA;Título no Brasil;Lançamento nos EUA;Lançamento no BR
4;Monsters, Inc.;Monstros S.A.;02/11/2001;14/11/2001
5;Finding Nemo;Procurando Nemo;30/05/2003;04/07/2003
6;Cars;Carros;09/06/2006;30/06/2006
7;Ratatouille;Ratatouille;29/06/2007;06/07/2007
8;WALL·E;WALL·E;27/06/2008;27/06/2008
9;Up;Up: Altas Aventuras;29/05/2009;04/09/2009
10;Toy Story 3;Toy Story 3;18/06/2010;18/06/2010
11;Cars 2;Carros 2;24/06/2011;23/06/2011
12;Brave;Valente;22/06/2012;20/07/2012
13;Monsters University;Universidade Monstros;21/06/2013;21/06/2013
14;Inside Out;Divertida Mente;19/06/2015;18/06/2015
15;The Good Dinosaur;O Bom Dinossauro;25/11/2015;07/01/2016
16;Finding Dory;Procurando Dory;17/06/2016;30/06/2016
17;Cars 3;Carros 3;16/06/2017;13/07/2017
18;Coco;Viva: A Vida é uma Festa;22/11/2017;04/01/2018
19;Incredibles 2;Os Incríveis 2;15/06/2018;28/06/2018
20;Toy Story 4;Toy Story 4;21/06/2019;20/06/2019
21;Onward;Dois Irmãos:;06/03/2020;05/03/2020
22;Soul;Soul;25/12/2020;25/12/2020
23;Luca;Luca;18/06/2021;00/00/00
1;Branca de Neve e os Sete Anões;Branca de Neve e os Sete Anões;;
2;Pinóquio;Pinóquio;;
3;Fantasia;Fantasia;;
4;Dumbo;Dumbo;;
5;Bambi;Bambi;;
6;Alô, Amigos;Alô, Amigos;;
7;Você Já Foi a Bahia?;Você Já Foi a Bahia?;;
8;Música, Maestro!;Música, Maestro!;;
9;Como é Bom se Divertir;Como é Bom se Divertir;;
10;Tempo de Melodia;Tempo de Melodia;;
11;As Aventuras de Ichabod e Sr. Sapo;As Aventuras de Ichabod e Sr. Sapo;;
12;Cinderela;Cinderela;;
13;Alice no País das Maravilhas;Alice no País das Maravilhas;;
14;Peter Pan;Peter Pan;;
15;A Dama e o Vagabundo;A Dama e o Vagabundo;;
16;A Bela Adormecida;A Bela Adormecida;;
17;101 Dálmatas;102 Dálmatas;;
18;A Espada Era a Lei;A Espada Era a Lei;;
19;Mogli - O Menino Lobo;Mogli - O Menino Lobo;;
20;Aristogatas;Aristogatas;;
21;Robin Hood;Robin Hood;;
22;As Muitas Aventuras do Ursinho Pooh;As Muitas Aventuras do Ursinho Pooh;;
23;Bernardo e Bianca;Bernardo e Bianca;;
24;O Cão e a Raposa;O Cão e a Raposa;;
25;O Caldeirão Mágico;O Caldeirão Mágico;;
26;As Peripécias do Ratinho Detetive;As Peripécias do Ratinho Detetive;;
27;Oliver e sua Turma;Oliver e sua Turma;;
28;A Pequena Sereia;A Pequena Sereia;;
29;Bernardo e Bianca na Terra dos Cangurus;Bernardo e Bianca na Terra dos Cangurus;;
30;A Bela e a Fera;A Bela e a Fera;;
31;Aladdin;Aladdin;;
32;O Rei Leão;O Rei Leão;;
33;Pocahontas;Pocahontas;;
34;O Corcunda de Notre Dame;O Corcunda de Notre Dame;;
35;Hércules;Hércules;;
36;Mulan;Mulan;;
37;Tarzan;Tarzan;;
38;Fantasia 2000;Fantasia 2001;;
39;Dinossauro;Dinossauro;;
40;A Nova Onda do Imperador;A Nova Onda do Imperador;;
41;Atlantis: O Reino Perdido;Atlantis: O Reino Perdido;;
42;Lilo & Stitch;Lilo & Stitch;;
43;Planeta do Tesouro;Planeta do Tesouro;;
44;Irmão Urso;Irmão Urso;;
45;Nem Que a Vaca Tussa;Nem Que a Vaca Tussa;;
46;O Galinho Chicken Little;O Galinho Chicken Little;;
47;A Família do Futuro;A Família do Futuro;;
48;Bolt: Supercão;Bolt: Supercão;;
49;A Princesa e o Sapo;A Princesa e o Sapo;;
50;Enrolados;Enrolados;;
51;O Ursinho Pooh;O Ursinho Pooh;;
52;Detona Ralph;Detona Ralph;;
53;Frozen: Uma Aventura Congelante;Frozen: Uma Aventura Congelante;;
54;Operação Big Hero;Operação Big Hero;;
55;Zootopia;Zootopia;;
56;Moana: Um Mar de Aventuras;Moana: Um Mar de Aventuras;;
57;WiFi Ralph: Quebrando a Internet;WiFi Ralph: Quebrando a Internet;;
58;Frozen 2;Frozen 3;;
59;Raya e o Último Dragão;Raya e o Último Dragão;;
1998;FormiguinhaZ;FormiguinhaZ;;
1998;O Príncipe do Egito;O Príncipe do Egito;;
2000;O Caminho para El Dorado;O Caminho para El Dorado;;
2000;A Fuga das Galinhas;A Fuga das Galinhas;;
2001;Shrek;Shrek;;
2002;Spirit: O Corcel Indomável;Spirit: O Corcel Indomável;;
2003;Sinbad – A Lenda dos Sete Mares;Sinbad - A Lenda dos Sete Mares;;
2004;Shrek 2;Shrek 3;;
2004;O Espanta Tubarões;O Espanta Tubarões;;
2005;Madagascar;Madagascar;;
2005;Wallace & Gromit: A Batalha dos Vegetais;Wallace e Gromit: A Batalha dos Vegetais;;
2006;Os Sem-Floresta;Os Sem-Floresta;;
2006;Por Água Abaixo;Por Água Abaixo;;
2007;Shrek Terceiro;Shrek Terceiro;;
2007;Bee Movie – A História de Uma Abelha;Bee Movie - A História de Uma Abelha;;
2008;Kung Fu Panda;Kung Fu Panda;;
2009;Madagascar 2: A Grande Escapada;Madagascar 2: A Grande Escapada;;
2009;Monstros vs. Alienígenas;Monstros vs Alienígenas;;
2010;Como Treinar o Seu Dragão;Como Treinar o Seu Dragão;;
2010;Shrek para Sempre;Shrek para Sempre;;
2010;Megamente;Megamente;;
2011;Kung Fu Panda 2;Kung Fu Panda 3;;
2011;O Gato de Botas;O Gato de Botas;;
2012;Madagascar 3: Os Procurados;Madagascar 3: Os Procurados;;
2012;A Origem dos Guardiões;A Origem dos Guardiões;;
2013;Os Croods;Os Croods;;
2013;Turbo;Turbo;;
2014;As Aventuras de Peabody e Sherman;As Aventuras de Peabody e Sherman;;
2014;Como Treinar o Seu Dragão 2;Como Treinar o Seu Dragão 3;;
2014;Os Pinguins de Madagascar;Os Pinguins de Madagascar;;
2015;Cada um na Sua Casa;Cada um na Sua Casa;;
2016;Kung Fu Panda 3;Kung Fu Panda 4;;
2016;Trolls;Trolls;;
2017;O Poderoso Chefinho;O Poderoso Chefinho;;
2017;As Aventuras do Capitão Cueca;As Aventuras do Capitão Cueca;;
2019;Como Treinar o Seu Dragão 3: O Mundo Escondido;Como Treinar o Seu Dragão 3: O Mundo Escondido;;
2019;Abominável;Abominável;;
